,PC1,PC2,group,tissue,stage,type,sam,idxOrder
RPE_8W_emb1_rep1_35,8.028178601,-24.53770025,0,RPE,6W,RPE,RPE_8W_emb1_rep1_35,1518
RPE_8W_emb1_rep1_36,3.677305412,-36.47335903,0,RPE,6W,RPE,RPE_8W_emb1_rep1_36,1519
RPE_8W_emb1_rep1_37,5.33662267,-35.93735781,0,RPE,6W,RPE,RPE_8W_emb1_rep1_37,1520
RPE_8W_emb1_rep1_38,-2.3505463140000002,-32.73758037,0,RPE,6W,RPE,RPE_8W_emb1_rep1_38,1521
RPE_8W_emb1_rep1_39,4.384283637,-35.07864698,0,RPE,6W,RPE,RPE_8W_emb1_rep1_39,1522
RPE_8W_emb1_rep1_40,5.404883039,-36.85854735,0,RPE,6W,RPE,RPE_8W_emb1_rep1_40,1523
RPE_8W_emb1_rep1_41,6.4709905370000005,-35.99182385,0,RPE,6W,RPE,RPE_8W_emb1_rep1_41,1524
RPE_8W_emb1_rep1_42,19.13508533,-15.8297366,0,RPE,6W,RPE,RPE_8W_emb1_rep1_42,1525
RPE_8W_emb1_rep1_43,3.399380101,-36.04633777,0,RPE,6W,RPE,RPE_8W_emb1_rep1_43,1526
RPE_8W_emb1_rep1_44,5.220101402,-34.97973596,0,RPE,6W,RPE,RPE_8W_emb1_rep1_44,1527
RPE_8W_emb1_rep1_45,4.582077719,-36.21197145,0,RPE,6W,RPE,RPE_8W_emb1_rep1_45,1528
RPE_8W_emb1_rep1_46,-1.930489567,-35.67971823,0,RPE,6W,RPE,RPE_8W_emb1_rep1_46,1529
RPE_8W_emb1_rep1_47,4.940368438,-26.71229952,0,RPE,6W,RPE,RPE_8W_emb1_rep1_47,1530
RPE_8W_emb1_rep1_48,-0.337929362,-26.34321244,0,RPE,6W,RPE,RPE_8W_emb1_rep1_48,1531
RPE_8W_emb1_rep1_49,-0.30198651,-26.31382694,0,RPE,6W,RPE,RPE_8W_emb1_rep1_49,1532
RPE_8W_emb1_rep1_50,4.476302256,-36.34714232,0,RPE,6W,RPE,RPE_8W_emb1_rep1_50,1533
RET_8W_emb1_rep1_1,3.2872662669999997,-10.00677738,2,RET,6W,RPC,RET_8W_emb1_rep1_1,1534
RET_8W_emb1_rep1_2,-3.165045713,-10.55098627,2,RET,6W,RPC,RET_8W_emb1_rep1_2,1535
RET_8W_emb1_rep1_3,-9.447782395,-7.04813591,2,RET,6W,RPC,RET_8W_emb1_rep1_3,1536
RET_8W_emb1_rep1_4,-1.2649776879999999,-10.29858564,2,RET,6W,RPC,RET_8W_emb1_rep1_4,1537
RET_8W_emb1_rep1_5,1.6211863519999998,-10.40241998,2,RET,6W,RPC,RET_8W_emb1_rep1_5,1538
RET_8W_emb1_rep1_6,0.732405199,-7.2321712179999995,2,RET,6W,RPC,RET_8W_emb1_rep1_6,1539
RET_8W_emb1_rep1_7,-4.03499448,-11.57465153,2,RET,6W,RPC,RET_8W_emb1_rep1_7,1540
RET_8W_emb1_rep1_8,-3.7209856219999997,-10.54491117,2,RET,6W,RPC,RET_8W_emb1_rep1_8,1541
RET_8W_emb1_rep1_9,2.452556482,-7.729955447999999,2,RET,6W,RPC,RET_8W_emb1_rep1_9,1542
RET_8W_emb1_rep1_10,2.6957475910000004,-7.348547803,2,RET,6W,RPC,RET_8W_emb1_rep1_10,1543
RET_8W_emb1_rep1_11,2.9667041939999996,-7.832663737000001,2,RET,6W,RPC,RET_8W_emb1_rep1_11,1544
RET_8W_emb1_rep1_12,1.475756901,-8.344936204,2,RET,6W,RPC,RET_8W_emb1_rep1_12,1545
RET_8W_emb1_rep1_13,-0.8271037659999999,-9.786612559,2,RET,6W,RPC,RET_8W_emb1_rep1_13,1546
RET_8W_emb1_rep1_14,1.878969765,-10.29744669,2,RET,6W,RPC,RET_8W_emb1_rep1_14,1547
RET_8W_emb1_rep1_15,3.082746378,-10.56575372,2,RET,6W,RPC,RET_8W_emb1_rep1_15,1548
RET_8W_emb1_rep1_16,2.447340652,-7.214795711,2,RET,6W,RPC,RET_8W_emb1_rep1_16,1549
RET_8W_emb1_rep1_17,2.025990503,-8.914477121000001,2,RET,6W,RPC,RET_8W_emb1_rep1_17,1550
RET_8W_emb1_rep1_18,-3.916117274,-10.53761301,2,RET,6W,RPC,RET_8W_emb1_rep1_18,1551
RET_8W_emb1_rep1_19,2.20977798,-8.173011996,2,RET,6W,RPC,RET_8W_emb1_rep1_19,1552
RET_8W_emb1_rep1_20,-3.050214908,-10.52369557,2,RET,6W,RPC,RET_8W_emb1_rep1_20,1553
RET_8W_emb1_rep1_21,0.977605918,-5.945886442000001,2,RET,6W,RPC,RET_8W_emb1_rep1_21,1554
RET_8W_emb1_rep1_22,1.7636784890000001,-9.177945833999999,2,RET,6W,RPC,RET_8W_emb1_rep1_22,1555
RET_8W_emb1_rep1_23,0.6795739740000001,-7.653757035,2,RET,6W,RPC,RET_8W_emb1_rep1_23,1556
RET_8W_emb1_rep1_24,-2.60354953,-10.44458628,2,RET,6W,RPC,RET_8W_emb1_rep1_24,1557
RET_8W_emb1_rep1_25,3.5379757539999996,-9.897094617,2,RET,6W,RPC,RET_8W_emb1_rep1_25,1558
RET_8W_emb1_rep1_26,-27.65440176,-12.44622838,18,RET,6W,Microglia,RET_8W_emb1_rep1_26,1559
RET_8W_emb1_rep1_27,-2.630672959,-10.14708168,2,RET,6W,RPC,RET_8W_emb1_rep1_27,1560
RET_8W_emb1_rep1_28,3.4620297460000002,-9.435820651,2,RET,6W,RPC,RET_8W_emb1_rep1_28,1561
RET_8W_emb1_rep1_29,-17.78468036,0.539968054,4,RET,6W,RGC,RET_8W_emb1_rep1_29,1562
RET_8W_emb1_rep1_30,3.879688608,-8.547932229,2,RET,6W,RPC,RET_8W_emb1_rep1_30,1563
RET_8W_emb1_rep1_31,-4.642155853999999,-11.44397796,2,RET,6W,RPC,RET_8W_emb1_rep1_31,1564
RET_8W_emb1_rep1_32,-0.768199557,-6.196558041,2,RET,6W,RPC,RET_8W_emb1_rep1_32,1565
RET_8W_emb1_rep1_33,1.679867359,-5.424485312000001,2,RET,6W,RPC,RET_8W_emb1_rep1_33,1566
RET_8W_emb1_rep1_34,2.650622952,-7.926921393,2,RET,6W,RPC,RET_8W_emb1_rep1_34,1567
RET_8W_emb1_rep1_35,1.196060576,-8.519436926000001,2,RET,6W,RPC,RET_8W_emb1_rep1_35,1568
RET_8W_emb1_rep1_36,-1.538582193,-10.47539556,2,RET,6W,RPC,RET_8W_emb1_rep1_36,1569
RET_8W_emb1_rep1_37,-1.45139632,-10.27677821,2,RET,6W,RPC,RET_8W_emb1_rep1_37,1570
RET_8W_emb1_rep1_38,-4.425473085,-10.87889719,2,RET,6W,RPC,RET_8W_emb1_rep1_38,1571
RET_8W_emb1_rep1_39,0.757707074,-7.483054134,2,RET,6W,RPC,RET_8W_emb1_rep1_39,1572
RET_8W_emb1_rep1_40,-2.142324408,-10.86835436,2,RET,6W,RPC,RET_8W_emb1_rep1_40,1573
RET_8W_emb1_rep1_41,1.230684217,-7.800085446000001,2,RET,6W,RPC,RET_8W_emb1_rep1_41,1574
RET_8W_emb1_rep1_42,2.464107897,-8.087737195,2,RET,6W,RPC,RET_8W_emb1_rep1_42,1575
RET_8W_emb1_rep1_43,0.863609133,-9.536324849,2,RET,6W,RPC,RET_8W_emb1_rep1_43,1576
RET_8W_emb1_rep1_44,-6.25290515,0.375294325,2,RET,6W,RPC,RET_8W_emb1_rep1_44,1577
RET_8W_emb1_rep1_45,1.945920156,-6.5297775,2,RET,6W,RPC,RET_8W_emb1_rep1_45,1578
RET_8W_emb1_rep1_46,1.29529198,-7.340571345,2,RET,6W,RPC,RET_8W_emb1_rep1_46,1579
RET_8W_emb1_rep1_47,1.626042636,-6.010618753999999,2,RET,6W,RPC,RET_8W_emb1_rep1_47,1580
RET_8W_emb1_rep1_48,1.46779046,-7.4789731989999995,2,RET,6W,RPC,RET_8W_emb1_rep1_48,1581
RET_8W_emb1_rep1_49,1.405231083,-8.798285676,2,RET,6W,RPC,RET_8W_emb1_rep1_49,1582
RET_8W_emb1_rep1_50,2.303656181,-10.17833728,2,RET,6W,RPC,RET_8W_emb1_rep1_50,1583
RET_8W_emb1_rep1_51,-27.749144899999997,-12.3435659,18,RET,6W,Microglia,RET_8W_emb1_rep1_51,1584
RET_8W_emb1_rep1_52,2.045623888,-8.963101835,2,RET,6W,RPC,RET_8W_emb1_rep1_52,1585
RET_8W_emb1_rep1_53,-2.399121789,-10.03954724,2,RET,6W,RPC,RET_8W_emb1_rep1_53,1586
RET_8W_emb1_rep1_54,-19.44152071,1.403326822,4,RET,6W,RGC,RET_8W_emb1_rep1_54,1587
RET_8W_emb1_rep1_55,-2.210829247,-11.439917300000001,2,RET,6W,RPC,RET_8W_emb1_rep1_55,1588
RET_8W_emb1_rep1_56,-27.75461344,-12.23326317,18,RET,6W,Microglia,RET_8W_emb1_rep1_56,1589
RET_8W_emb1_rep1_57,3.4189409239999997,-6.997717729,2,RET,6W,RPC,RET_8W_emb1_rep1_57,1590
RET_8W_emb1_rep1_58,3.218537193,-5.659528735,2,RET,6W,RPC,RET_8W_emb1_rep1_58,1591
RET_8W_emb1_rep1_59,2.3349308019999997,-7.112726437999999,2,RET,6W,RPC,RET_8W_emb1_rep1_59,1592
RET_8W_emb1_rep1_60,-1.7887072659999999,-9.903511438999999,2,RET,6W,RPC,RET_8W_emb1_rep1_60,1593
RET_8W_emb1_rep1_61,-9.291832029,2.213198221,4,RET,6W,RGC,RET_8W_emb1_rep1_61,1594
RET_8W_emb1_rep1_62,-1.949936312,-8.848182443999999,2,RET,6W,RPC,RET_8W_emb1_rep1_62,1595
RET_8W_emb1_rep1_63,3.039356068,-5.9224119139999996,2,RET,6W,RPC,RET_8W_emb1_rep1_63,1596
RET_8W_emb1_rep1_64,1.916263055,-6.713446134,2,RET,6W,RPC,RET_8W_emb1_rep1_64,1597
RET_8W_emb1_rep1_65,2.016093801,-5.3122740980000005,2,RET,6W,RPC,RET_8W_emb1_rep1_65,1598
RET_8W_emb1_rep1_66,-0.499428855,-10.76629456,2,RET,6W,RPC,RET_8W_emb1_rep1_66,1599
RET_8W_emb1_rep1_67,-8.949897112,-0.78125444,4,RET,6W,RGC,RET_8W_emb1_rep1_67,1600
RET_8W_emb1_rep1_68,0.6791910290000001,-9.640122496,2,RET,6W,RPC,RET_8W_emb1_rep1_68,1601
RET_8W_emb1_rep1_69,-3.732493437,-5.735320842999999,2,RET,6W,RPC,RET_8W_emb1_rep1_69,1602
RET_8W_emb1_rep1_70,1.284595661,-8.927708956,2,RET,6W,RPC,RET_8W_emb1_rep1_70,1603
RET_8W_emb1_rep1_71,-4.4748000789999995,-10.50489741,2,RET,6W,RPC,RET_8W_emb1_rep1_71,1604
RET_8W_emb1_rep1_72,-25.32700383,-13.18507898,2,RET,6W,Microglia,RET_8W_emb1_rep1_72,1605
RET_8W_emb1_rep1_73,-4.429344907,-10.46507907,2,RET,6W,RPC,RET_8W_emb1_rep1_73,1606
